price,weight,storage,battery_life,cpu,ram
831.0,3.2,1280.0,,AMD Ryzen 1700 3GHz,8
409.0,2.3,256.0,,Intel Core i5 7200U 2.5GHz,4
298.0,2.8,1024.0,,Intel Pentium Quad Core N4200 1.1GHz,4
204.0,0.69,64.0,,Intel Atom x5-Z8550 1.44GHz,4
538.0,2.2,256.0,,Intel Core i7 8550U 1.8GHz,8
255.0,1.86,256.0,,AMD A6-Series 9220 2.5GHz,4
705.0,1.49,512.0,,Intel Core i7 8550U 1.8GHz,8
246.0,2.4,1024.0,,Intel Core i3 7100U 2.4GHz,4
491.0,2.13,256.0,,Intel Core i7 8550U 1.8GHz,8
281.0,1.91,128.0,,Intel Core i3 6006U 2GHz,4
375.0,2.0,256.0,,Intel Core i5 7200U 2.5GHz,4
1566.0,2.43,2304.0,,Intel Core i7 7700HQ 2.8GHz,16
265.0,2.0,256.0,,Intel Core i3 6006U 2GHz,4
831.0,2.8,2304.0,,Intel Core i7 8550U 1.8GHz,16
562.0,1.7,256.0,,Intel Core i5 8250U 1.6GHz,8
383.0,1.7,256.0,,Intel Core i3 7130U 2.7GHz,8
602.0,1.4,256.0,,Intel Core i5 8250U 1.6GHz,8
441.0,1.86,256.0,,Intel Core i5 7200U 2.5GHz,8
1268.0,1.8,512.0,,Intel Core i7 7700HQ 2.8GHz,16
280.0,1.86,500.0,,Intel Core i3 6006U 2GHz,4
146.0,1.44,32.0,,Intel Celeron Dual Core N3060 1.6GHz,4
351.0,1.9,1024.0,,Intel Core i5 7200U 2.5GHz,4
607.0,3.0,1024.0,,Intel Core i7 7700HQ 2.8GHz,12
696.0,1.252,128.0,,Intel Core i5 7200U 2.5GHz,4
611.0,1.4,256.0,,Intel Core i7 8550U 1.8GHz,8
556.0,2.2,256.0,,Intel Core i7 8550U 1.8GHz,8
700.0,2.7,1152.0,,Intel Core i5 7300HQ 2.5GHz,8
249.0,2.1,1024.0,,Intel Core i3 6006U 2GHz,8
607.0,2.2,1024.0,,Intel Core i7 7700HQ 2.8GHz,8
332.0,2.2,2048.0,,Intel Core i5 7200U 2.5GHz,8
547.0,2.02,1152.0,,Intel Core i7 8550U 1.8GHz,8
339.0,2.2,1024.0,,Intel Core i3 7130U 2.7GHz,4
625.0,2.5,1152.0,,Intel Core i5 8250U 1.6GHz,8
701.0,1.88,256.0,,Intel Core i5 8250U 1.6GHz,8
965.0,0.92,512.0,,Intel Core i5 1.3GHz,8
550.0,1.63,256.0,,Intel Core i5 8250U 1.6GHz,8
255.0,2.2,128.0,,AMD A6-Series 9220 2.5GHz,4
253.0,2.1,1024.0,,AMD A9-Series 9420 3GHz,4
862.0,2.65,1152.0,,Intel Core i7 7700HQ 2.8GHz,16
447.0,1.83,256.0,,Intel Core i7 8550U 1.8GHz,8
383.0,1.96,256.0,,Intel Core i5 7200U 2.5GHz,8
926.0,2.2,1152.0,,Intel Core i7 7700HQ 2.8GHz,16
1054.0,1.21,256.0,,Intel Core i7 8550U 1.8GHz,8
447.0,2.45,1024.0,,AMD FX 9830P 3GHz,8
441.0,2.2,1024.0,,Intel Core i7 8550U 1.8GHz,8
765.0,1.49,512.0,,Intel Core i7 8550U 1.8GHz,16
764.0,2.65,256.0,,Intel Core i5 7300HQ 2.5GHz,8
671.0,1.25,256.0,,Intel Core i7 7500U 2.7GHz,8
542.0,1.5,256.0,,Intel Core i5 8250U 1.6GHz,8
384.0,2.2,1024.0,,Intel Core i7 7500U 2.7GHz,8
310.0,2.2,256.0,,Intel Core i3 6006U 2GHz,4
369.0,2.0,256.0,,Intel Core i3 7100U 2.4GHz,6
799.0,2.62,1152.0,,Intel Core i7 7700HQ 2.8GHz,12
460.0,1.91,256.0,,Intel Core i7 7500U 2.7GHz,8
223.0,2.1,500.0,,AMD E-Series E2-9000e 1.5GHz,4
414.0,2.2,1024.0,,Intel Core i5 8250U 1.6GHz,8
715.0,1.38,256.0,,Intel Core i7 7500U 2.7GHz,8
857.0,1.252,256.0,,Intel Core i5 7200U 2.5GHz,8
421.0,1.58,256.0,,Intel Core i5 7200U 2.5GHz,6
265.0,1.85,1024.0,,Intel Core i3 6006U 2GHz,4
763.0,1.3,256.0,,Intel Core i7 7500U 2.7GHz,8
831.0,2.2,1280.0,,Intel Core i7 7700HQ 2.8GHz,16
946.0,1.58,256.0,,Intel Core i7 7500U 2.7GHz,8
807.0,1.5,1280.0,,Intel Core i7 8550U 1.8GHz,16
882.0,1.23,256.0,,Intel Core i7 7560U 2.4GHz,8
894.0,1.37,256.0,,Intel Core i5 7200U 2.5GHz,8
462.0,1.63,500.0,,Intel Core i5 8250U 1.6GHz,4
1042.0,1.21,256.0,,Intel Core i5 8250U 1.6GHz,8
894.0,1.26,256.0,,Intel Core i5 8250U 1.6GHz,8
693.0,1.63,512.0,,Intel Core i7 8550U 1.8GHz,8
723.0,2.16,1280.0,,Intel Core i7 8550U 1.8GHz,8
361.0,2.0,1024.0,,Intel Core i3 6006U 2GHz,4
715.0,1.7,256.0,,Intel Core i7 8550U 1.8GHz,8
306.0,2.1,1024.0,,Intel Core i3 7100U 2.4GHz,6
1433.0,1.8,2304.0,,Intel Core i7 7700HQ 2.8GHz,16
402.0,2.2,256.0,,Intel Core i5 7200U 2.5GHz,8
813.0,2.5,512.0,,Intel Core i7 8550U 1.8GHz,16
288.0,2.1,256.0,,AMD A9-Series 9420 3GHz,4
166.0,1.86,500.0,,Intel Celeron Dual Core N3060 1.6GHz,4
519.0,1.63,1024.0,,Intel Core i5 8250U 1.6GHz,8
178.0,1.65,64.0,,AMD E-Series 6110 1.5GHz,4
893.0,2.8,2304.0,,Intel Core i7 8550U 1.8GHz,16
593.0,2.5,256.0,,Intel Core i5 8250U 1.6GHz,8
409.0,2.36,1024.0,,Intel Core i5 7200U 2.5GHz,8
287.0,2.2,1024.0,,Intel Core i3 6006U 2GHz,4
565.0,1.6,256.0,,Intel Core i7 8550U 1.8GHz,8
366.0,2.2,256.0,,Intel Core i3 7130U 2.7GHz,4
382.0,2.05,1024.0,,Intel Core i7 7500U 2.7GHz,8
632.0,1.63,256.0,,Intel Core i7 8550U 1.8GHz,8
161.0,1.9,1024.0,,Intel Celeron Dual Core N3350 1.1GHz,4
600.0,3.0,1152.0,,Intel Core i5 7300HQ 2.5GHz,8
319.0,2.2,1024.0,,Intel Core i5 7200U 2.5GHz,4
447.0,1.32,256.0,,Intel Core i5 7200U 2.5GHz,4
419.0,3.0,1024.0,,Intel Core i3 7130U 2.7GHz,4
714.0,1.75,256.0,,Intel Core i5 8250U 1.6GHz,8
556.0,2.4,256.0,,Intel Core i7 7700HQ 2.8GHz,8
385.0,2.1,500.0,,Intel Core i5 6200U 2.3GHz,4
236.0,1.86,256.0,,AMD A6-Series 9220 2.5GHz,4
703.0,1.25,256.0,,Intel Core i7 8550U 1.8GHz,8
1288.0,0.97,512.0,,Intel Core M 6Y75 1.2GHz,8
220.0,2.0,1024.0,,Intel Celeron Dual Core N3350 1.1GHz,4
1297.0,2.9,1280.0,,Intel Core i7 7700HQ 2.8GHz,16
286.0,2.1,1024.0,,Intel Core i3 6006U 2GHz,4
799.0,2.56,512.0,,Intel Core i7 7700HQ 2.8GHz,16
575.0,2.62,1024.0,,Intel Core i7 7700HQ 2.8GHz,8
318.0,1.9,128.0,,Intel Core i5 7200U 2.5GHz,4
1208.0,2.8,1280.0,,Intel Core i7 7700HQ 2.8GHz,16
692.0,1.48,256.0,,Intel Core i5 7500U 2.7GHz,4
396.0,1.91,256.0,,Intel Core i5 8250U 1.6GHz,6
402.0,1.74,256.0,,Intel Core i3 7100U 2.4GHz,4
841.0,1.1,256.0,,Intel Core i5 8250U 1.6GHz,8
671.0,1.56,256.0,,Intel Core i7 8550U 1.8GHz,8
286.0,2.1,500.0,,Intel Core i3 6006U 2.2GHz,4
258.0,2.03,1024.0,,AMD A9-Series 9420 3GHz,4
515.0,3.0,256.0,,Intel Core i5 8250U 1.6GHz,4
465.0,2.13,256.0,,Intel Core i5 8250U 1.6GHz,8
690.0,2.5,256.0,,Intel Core i7 7700HQ 2.8GHz,16
222.0,2.1,1024.0,,Intel Celeron Dual Core N3350 1.1GHz,4
1150.0,2.4,1280.0,,Intel Core i7 7700HQ 2.8GHz,16
232.0,2.1,1024.0,,Intel Pentium Quad Core N4200 1.1GHz,4
678.0,2.56,1152.0,,Intel Core i7 7700HQ 2.8GHz,8
546.0,3.0,256.0,,Intel Core i5 8250U 1.6GHz,8
482.0,1.49,500.0,,Intel Core i5 8250U 1.6GHz,4
862.0,1.05,256.0,,Intel Core i5 7200U 2.5GHz,8
447.0,2.71,2048.0,,Intel Core i5 7200U 2.5GHz,6
198.0,2.2,500.0,,AMD A6-Series 9220 2.9GHz,4
313.0,2.0,500.0,,Intel Core i3 7100U 2.4GHz,4
590.0,2.5,256.0,,Intel Core i5 8250U 1.6GHz,8
293.0,2.3,1024.0,,Intel Core i3 7100U 2.4GHz,8
287.0,2.1,128.0,,Intel Core i3 6006U 2GHz,4
1790.0,4.4,1536.0,,Intel Core i7 6920HQ 2.9GHz,32
520.0,1.9,1152.0,,Intel Core i5 7200U 2.5GHz,8
958.0,1.29,256.0,,Intel Core i5 8250U 1.6GHz,8
671.0,2.02,2304.0,,Intel Core i7 8550U 1.8GHz,16
894.0,1.23,256.0,,Intel Core i5 8250U 1.6GHz,8
1182.0,1.4,512.0,,Intel Core i7 8550U 1.8GHz,16
507.0,2.0,128.0,,Intel Core i5 7200U 2.5GHz,8
767.0,1.95,256.0,,Intel Core i5 8250U 1.6GHz,8
990.0,2.77,512.0,,Intel Core i7 8550U 1.8GHz,16
1533.0,2.06,512.0,,Intel Core i7 7700HQ 2.8GHz,16
498.0,2.4,256.0,,Intel Core i5 7300HQ 2.5GHz,8
632.0,1.12,256.0,,Intel Core i5 7Y54 1.2GHz,8
694.0,2.8,1152.0,,Intel Core i7 8550U 1.8GHz,8
1806.0,1.42,1024.0,,Intel Core i7 7500U 2.7GHz,16
166.0,1.3,32.0,,Intel Celeron Dual Core N3350 1.1GHz,4
639.0,1.3,256.0,,Intel Core i5 7200U 2.5GHz,8
446.0,2.8,256.0,,Intel Core i5 8250U 1.6GHz,8
536.0,1.62,1024.0,,Intel Core i7 8550U 1.8GHz,8
584.0,2.5,1024.0,,Intel Core i5 8250U 1.6GHz,8
3899.0,3.49,1024.0,,Intel Core i7 7820HK 2.9GHz,32
613.0,1.49,512.0,,Intel Core i5 8250U 1.6GHz,8
882.0,3.35,1280.0,,Intel Core i7 7700HQ 2.8GHz,16
668.0,2.5,256.0,,Intel Core i7 8550U 1.8GHz,8
1180.0,2.65,1536.0,,Intel Core i7 7700HQ 2.8GHz,16
315.0,2.1,128.0,,Intel Core i5 6200U 2.3GHz,4
474.0,2.23,1024.0,,Intel Core i7 7500U 2.7GHz,8
1118.0,3.2,1536.0,,Intel Core i7 7700HQ 2.8GHz,16
1953.0,2.8,1280.0,,Intel Xeon E3-1505M V6 3GHz,16
894.0,2.4,512.0,,Intel Core i7 7700HQ 2.8GHz,16
281.0,2.3,1024.0,,Intel Core i3 7100U 2.4GHz,6
1246.0,1.21,256.0,,Intel Core i7 8550U 1.8GHz,8
926.0,1.2,256.0,,Intel Core i7 8550U 1.8GHz,8
382.0,2.2,256.0,,Intel Core i5 7200U 2.5GHz,8
498.0,2.4,1024.0,,Intel Core i7 7700HQ 2.8GHz,8
900.0,2.9,1280.0,,Intel Core i7 7700HQ 2.8GHz,16
223.0,2.1,500.0,,Intel Core i3 6006U 2GHz,4
351.0,2.2,256.0,,Intel Core i5 7200U 2.5GHz,8
958.0,1.05,512.0,,Intel Core i7 7500U 2.7GHz,8
596.0,1.4,256.0,,Intel Core i7 8550U 1.8GHz,8
377.0,2.8,1024.0,,Intel Core i5 7200U 2.5GHz,8
659.0,1.63,256.0,,Intel Core i7 8550U 1.8GHz,8
735.0,1.6,256.0,,Intel Core i5 8250U 1.6GHz,8
818.0,1.62,512.0,,Intel Core i7 8550U 1.8GHz,16
433.0,2.2,256.0,,Intel Core i5 8250U 1.6GHz,8
575.0,1.74,256.0,,Intel Core i5 8250U 1.6GHz,8
871.0,1.2,256.0,,Intel Core i7 6500U 2.5GHz,8
508.0,2.1,1024.0,,Intel Core i5 8250U 1.6GHz,8
1570.0,4.42,1280.0,,Intel Core i7 7700HQ 2.8GHz,16
532.0,2.2,256.0,,Intel Core i7 7500U 2.7GHz,8
549.0,2.3,1024.0,,Intel Core i7 7500U 2.7GHz,16
492.0,2.0,256.0,,Intel Core i5 7200U 2.5GHz,8
570.0,2.69,756.0,,Intel Core i5 7200U 2.5GHz,8
811.0,1.9,1024.0,,Intel Core i7 7500U 2.7GHz,8
255.0,2.37,1024.0,,Intel Core i3 7100U 2.4GHz,4
211.0,2.1,500.0,,AMD E-Series 9000e 1.5GHz,4
958.0,3.2,1280.0,,Intel Core i7 7700HQ 2.8GHz,16
549.0,1.6,256.0,,Intel Core i5 7200U 2.5GHz,8
441.0,1.6,256.0,,Intel Core i5 6200U 2.3GHz,8
575.0,2.36,256.0,,Intel Core i7 7500U 2.7GHz,16
249.0,2.1,1024.0,,Intel Core i3 6006U 2GHz,4
368.0,2.2,1152.0,,AMD A10-Series A10-9620P 2.5GHz,4
2487.0,4.7,1536.0,,Intel Core i7 7820HK 2.9GHz,32
541.0,2.5,256.0,,Intel Core i5 7300HQ 2.5GHz,8
377.0,2.2,128.0,,Intel Core i3 6006U 2GHz,8
732.0,2.1,1152.0,,Intel Core i7 8550U 1.8GHz,8
568.0,2.69,1152.0,,Intel Core i7 7500U 2.7GHz,8
562.0,2.56,256.0,,Intel Core i5 7300HQ 2.5GHz,8
690.0,1.38,256.0,,Intel Core i7 7500U 2.7GHz,8
630.0,2.2,2176.0,,Intel Core i7 8550U 1.8GHz,8
357.0,2.04,1024.0,,Intel Core i5 7200U 2.5GHz,8
1917.0,3.6,256.0,,Intel Core i7 7820HK 2.9GHz,16
432.0,1.49,500.0,,Intel Core i5 8250U 1.6GHz,4
1304.0,1.37,512.0,,Intel Core i5 3.1GHz,8
524.0,2.08,1024.0,,Intel Core i7 8550U 1.8GHz,8
1150.0,4.3,1280.0,,Intel Core i7 7700HQ 2.8GHz,16
300.0,1.68,1024.0,,AMD A9-Series 9420 3GHz,4
1182.0,1.37,512.0,,Intel Core i7 8550U 1.8GHz,8
449.0,3.0,256.0,,Intel Core i3 7130U 2.7GHz,4
607.0,1.41,256.0,,Intel Core i5 8250U 1.6GHz,8
285.0,1.91,128.0,,AMD A6-Series A6-9220 2.5GHz,8
677.0,2.9,1024.0,,Intel Core i7 8550U 1.8GHz,16
1598.0,4.14,1536.0,,Intel Core i7 7700HQ 2.8GHz,16
1086.0,2.0,512.0,,Intel Core i7 7700HQ 2.8GHz,8
730.0,2.8,1152.0,,Intel Core i7 8550U 1.8GHz,8
284.0,2.2,256.0,,Intel Core i3 6006U 2GHz,4
462.0,2.1,500.0,,Intel Core i5 8250U 1.6GHz,4
420.0,2.18,1024.0,,Intel Core i5 7200U 2.5GHz,4
361.0,2.24,1024.0,,Intel Core i5 7200U 2.5GHz,8
511.0,2.67,256.0,,Intel Core i5 8250U 1.6GHz,8
958.0,1.1,1024.0,,Intel Core i7 8550U 1.8GHz,8
299.0,2.2,1024.0,,Intel Core i5 7200U 2.5GHz,4
651.0,2.5,1024.0,,Intel Core i7 8550U 1.8GHz,8
563.0,2.05,256.0,,Intel Core i7 8550U 1.8GHz,8
1252.0,1.37,512.0,,Intel Core i5 2.9GHz,8
990.0,3.2,1280.0,,AMD Ryzen 1700 3GHz,16
470.0,2.14,256.0,,Intel Core i7 8550U 1.8GHz,8
1598.0,1.36,512.0,,Intel Core i7 6600U 2.6GHz,16
519.0,2.2,500.0,,Intel Core i7 6500U 2.5GHz,8
456.0,2.3,1024.0,,Intel Core i7 7500U 2.7GHz,12
703.0,2.8,1152.0,,Intel Core i7 8550U 1.8GHz,8
476.0,2.2,1024.0,,Intel Core i7 8550U 1.8GHz,8
313.0,2.8,1024.0,,Intel Core i3 6006U 2GHz,4
543.0,2.8,2048.0,,Intel Core i7 8550U 1.8GHz,8
549.0,2.8,1152.0,,Intel Core i7 7500U 2.7GHz,6
274.0,2.25,1024.0,,Intel Core i3 6006U 2.0GHz,4
530.0,2.5,256.0,,Intel Core i5 7300HQ 2.5GHz,8
370.0,2.2,256.0,,Intel Core i5 7200U 2.5GHz,6
608.0,3.0,256.0,,Intel Core i7 8550U 1.8GHz,8
421.0,2.15,1024.0,,Intel Core i7 7500U 2.7GHz,12
701.0,1.95,256.0,,Intel Core i7 7500U 2.7GHz,8
625.0,1.7,256.0,,Intel Core i5 7200U 2.5GHz,8
754.0,2.5,1280.0,,Intel Core i7 7700HQ 2.8GHz,16
421.0,2.2,1024.0,,Intel Core i7 7500U 2.7GHz,8
127.0,2.19,16.0,,Intel Celeron Dual Core 3205U 1.5GHz,2
759.0,3.0,1024.0,,Intel Core i7 7700HQ 2.8GHz,8
313.0,2.54,1024.0,,Intel Core i3 6006U 2GHz,8
1169.0,2.0,256.0,,Intel Core i7 7700HQ 2.8GHz,8
472.0,2.05,256.0,,Intel Core i5 8250U 1.6GHz,8
831.0,3.2,1024.0,,Intel Core i7 7700HQ 2.8GHz,8
626.0,2.5,256.0,,Intel Core i7 7700HQ 2.8GHz,8
1844.0,3.42,256.0,,Intel Core i7 7820HQ 2.9GHz,16
319.0,2.4,1024.0,,AMD A10-Series 9600P 2.4GHz,6
939.0,1.63,512.0,,Intel Core i7 7500U 2.7GHz,16
325.0,1.3,128.0,,Intel Core i3 7100U 2.4GHz,4
1357.0,2.9,1280.0,,Intel Core i7 7700HQ 2.8GHz,16
415.0,2.8,1024.0,,Intel Core i5 7200U 2.5GHz,6
351.0,2.2,2048.0,,Intel Core i5 7200U 2.5GHz,8
809.0,2.5,1152.0,,Intel Core i7 7700HQ 2.8GHz,8
230.0,2.2,1024.0,,Intel Pentium Quad Core N4200 1.1GHz,4
1263.0,1.28,256.0,,Intel Core i7 7600U 2.8GHz,16
667.0,2.2,256.0,,Intel Core i7 6500U 2.5GHz,8
524.0,2.3,1152.0,,Intel Core i5 7200U 2.5GHz,8
300.0,1.86,1024.0,,Intel Core i3 6006U 2GHz,4
639.0,1.1,256.0,,Intel Core i5 7200U 2.5GHz,8
1598.0,1.21,1024.0,,Intel Core i7 8550U 1.8GHz,16
1342.0,2.8,1280.0,,Intel Core i7 7700HQ 2.8GHz,16
300.0,2.23,256.0,,AMD A8-Series 7410 2.2GHz,8
176.0,1.1,32.0,,Intel Celeron Dual Core N3350 1.1GHz,2
540.0,2.33,1152.0,,Intel Core i5 8250U 1.6GHz,8
1566.0,1.29,1024.0,,Intel Core i7 8550U 1.8GHz,16
294.0,1.45,16.0,,Intel Celeron Dual Core 3855U 1.6GHz,4
627.0,1.95,256.0,,Intel Core i5 7200U 2.5GHz,8
310.0,1.4,128.0,,Intel Pentium Quad Core N3710 1.6GHz,4
826.0,1.48,256.0,,Intel Core i7 7500U 2.7GHz,8
377.0,2.79,1024.0,,Intel Core i5 7200U 2.5GHz,4
699.0,2.0,256.0,,Intel Core i7 7500U 2.7GHz,8
577.0,2.1,1024.0,,Intel Core i7 8550U 1.8GHz,8
421.0,2.2,256.0,,AMD A12-Series 9720P 2.7GHz,8
187.0,1.44,32.0,,Intel Celeron Dual Core N3350 1.1GHz,4
351.0,2.23,1024.0,,Intel Core i5 7200U 2.5GHz,6
671.0,1.7,256.0,,Intel Core i7 7500U 2.7GHz,8
854.0,1.26,256.0,,Intel Core i7 7500U 2.7GHz,8
1687.0,2.06,1024.0,,Intel Core i7 7700HQ 2.8GHz,32
767.0,2.7,1280.0,,Intel Core i7 7700HQ 2.8GHz,8
603.0,2.0,256.0,,Intel Core i5 7200U 2.5GHz,8
853.0,2.0,1280.0,,Intel Core i7 7500U 2.7GHz,8
287.0,1.85,1024.0,,Intel Core i3 6006U 2GHz,4
639.0,2.5,256.0,,Intel Core i7 7700HQ 2.8GHz,8
811.0,1.48,256.0,,Intel Core i5 7300U 2.6GHz,8
671.0,1.9,1152.0,,Intel Core i5 8250U 1.6GHz,8
731.0,1.84,256.0,,Intel Core i5 7200U 2.5GHz,8
176.0,2.0,1024.0,,Intel Celeron Dual Core N3350 1.1GHz,4
731.0,2.0,256.0,,Intel Core i5 8250U 1.6GHz,8
176.0,2.2,500.0,,Intel Celeron Dual Core N3060 1.6GHz,4
575.0,2.2,2048.0,,AMD A12-Series 9720P 3.6GHz,12
458.0,2.1,1024.0,,Intel Core i3 7100U 2.4GHz,8
1342.0,1.4,512.0,,Intel Core i7 8550U 1.8GHz,16
1010.0,1.2,256.0,,Intel Core i7 8550U 1.8GHz,8
722.0,2.4,2304.0,,Intel Core i7 7700HQ 2.8GHz,16
178.0,1.44,32.0,,Intel Celeron Dual Core N3060 1.6GHz,2
1028.0,1.88,768.0,,Intel Core i7 8650U 1.9GHz,16
240.0,1.5,32.0,,Intel Celeron Dual Core N3350 1.1GHz,4
424.0,1.9,1024.0,,Intel Core i5 8250U 1.6GHz,8
1296.0,2.06,512.0,,Intel Core i7 7700HQ 2.8GHz,16
834.0,1.84,256.0,,Intel Core i7 7500U 2.7GHz,8
901.0,2.7,1152.0,,Intel Core i7 7700HQ 2.8GHz,8
1111.0,2.6,256.0,,Intel Core i7 7700HQ 2.8GHz,8
897.0,2.4,512.0,,Intel Core i7 6500U 2.5GHz,16
621.0,2.02,2176.0,,Intel Core i7 8550U 1.8GHz,8
206.0,2.2,1024.0,,Intel Celeron Dual Core N3350 1.1GHz,4
639.0,2.65,1024.0,,Intel Core i5 7300HQ 2.5GHz,8
356.0,2.36,2048.0,,Intel Core i5 7200U 2.5GHz,8
912.0,1.36,256.0,,Intel Core i5 7300U 2.6GHz,8
281.0,1.86,500.0,,Intel Core i3 6006U 2GHz,4
604.0,2.0,256.0,,Intel Core i5 7200U 2.5GHz,8
460.0,2.8,1152.0,,Intel Core i5 7200U 2.5GHz,6
409.0,1.86,1024.0,,Intel Core i5 7200U 2.5GHz,8
319.0,2.2,256.0,,Intel Core i3 6006U 2GHz,8
249.0,2.04,2048.0,,Intel Pentium Quad Core N3710 1.6GHz,8
694.0,2.8,1152.0,,Intel Core i5 8250U 1.6GHz,8
517.0,2.4,1152.0,,Intel Core i5 7300HQ 2.5GHz,8
575.0,2.33,256.0,,Intel Core i7 7500U 2.7GHz,8
1119.0,1.36,256.0,,Intel Core i7 7500U 2.7GHz,8
703.0,2.26,2560.0,,Intel Core i7 7500U 2.7GHz,12
272.0,2.1,128.0,,AMD A9-Series 9420 3GHz,4
1406.0,3.25,1280.0,,AMD Ryzen 1700 3GHz,16
313.0,2.6,128.0,,AMD A8-Series 7410 2.2GHz,4
556.0,1.62,256.0,,Intel Core i7 8550U 1.8GHz,8
313.0,1.91,256.0,,AMD A9-Series 9420 3GHz,4
354.0,1.59,128.0,,Intel Celeron Quad Core N3450 1.1GHz,4
198.0,1.8,500.0,,Intel Celeron Dual Core N3060 1.60GHz,4
183.0,1.5,32.0,,Intel Celeron Dual Core N3350 1.1GHz,4
541.0,2.4,1024.0,,Intel Core i7 7700HQ 2.8GHz,8
761.0,3.35,1152.0,,Intel Core i7 7700HQ 2.8GHz,8
258.0,1.85,128.0,,Intel Core i3 6006U 2GHz,4
1058.0,2.3,1152.0,,Intel Core i7 7700HQ 2.8GHz,8
703.0,1.5,256.0,,Intel Core i5 7200U 2.5GHz,8
1118.0,1.1,512.0,,Intel Core i7 7500U 2.7GHz,16
1459.0,1.13,512.0,,Intel Core i7 7500U 2.7GHz,8
351.0,1.5,128.0,,Intel Core i3 7100U 2.4GHz,4
875.0,2.23,500.0,,Intel Core i5 6440HQ 2.6GHz,8
1365.0,2.0,256.0,,Intel Core i7 6820HQ 2.7GHz,8
1604.0,1.42,512.0,,Intel Core i7 7500U 2.7GHz,16
664.0,3.0,1024.0,,Intel Core i7 7700HQ 2.8GHz,8
1017.0,3.0,1280.0,,Intel Core i7 7700HQ 2.8GHz,16
444.0,2.2,1024.0,,Intel Core i5 8250U 1.6GHz,12
862.0,2.7,256.0,,Intel Core i7 7700HQ 2.8GHz,8
498.0,2.33,256.0,,Intel Core i7 7500U 2.7GHz,8
319.0,1.91,256.0,,AMD A9-Series 9420 3GHz,4
786.0,2.1,256.0,,Intel Core i7 8550U 1.8GHz,8
600.0,1.9,256.0,,Intel Core i5 7200U 2.5GHz,8
1734.0,1.78,256.0,,Intel Core i7 7700HQ 2.8GHz,8
1678.0,1.13,1024.0,,Intel Core i7 7500U 2.7GHz,16
